"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18","Get exercises","LMS service","2026-08-28","passed","2026-08-28","Get entities","Exercises","",""
"","596","Create user","LMS service","2026-08-28","passed","2026-08-28","Create entity","Users","",""
"","23","Create file with empty directory","LMS service","2026-08-28","passed","2026-08-28","Validate entity","Files","",""
"","303","Get file with incorrect file id","LMS service","2026-08-28","passed","2026-08-28","Validate entity","Files","",""
"","18","Delete exercise","LMS service","2026-08-28","passed","2026-08-28","Delete entity","Exercises","",""
"","28","Create course","LMS service","2026-08-28","passed","2026-08-28","Create entity","Courses","",""
"","623","Login with correct email and password","LMS service","2026-08-28","passed","2026-08-28","Login","Authentication","",""
"","328","Get courses","LMS service","2026-08-28","passed","2026-08-28","Get entities","Courses","",""
"","629","Create user","LMS service","2026-08-28","passed","2026-08-28","Create entity","Users","",""
"","342","Update course","LMS service","2026-08-28","passed","2026-08-28","Update entity","Courses","",""
"","606","Create user","LMS service","2026-08-28","passed","2026-08-28","Create entity","Users","",""
"","19","Get exercise","LMS service","2026-08-28","passed","2026-08-28","Get entity","Exercises","",""
"","19","Delete file","LMS service","2026-08-28","passed","2026-08-28","Delete entity","Files","",""
"","298","Create file with empty filename","LMS service","2026-08-28","passed","2026-08-28","Validate entity","Files","",""
"","25","Create exercise","LMS service","2026-08-28","passed","2026-08-28","Create entity","Exercises","",""
"","11","Get user me","LMS service","2026-08-28","passed","2026-08-28","Get entity","Users","",""
"","12","Update exercise","LMS service","2026-08-28","broken","2026-08-28","Update entity","Exercises","",""
"","29","Create file","LMS service","2026-08-28","passed","2026-08-28","Create entity","Files","",""
"","14","Get file","LMS service","2026-08-28","passed","2026-08-28","Get entity","Files","",""
