"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","292","Create exercise","LMS service","2026-08-28","passed","2026-08-28","Create entity","Exercises","",""
"","276","Get file with incorrect file id","LMS service","2026-08-28","passed","2026-08-28","Validate entity","Files","",""
"","22","Delete exercise","LMS service","2026-08-28","passed","2026-08-28","Delete entity","Exercises","",""
"","529","Create user","LMS service","2026-08-28","passed","2026-08-28","Create entity","Users","",""
"","25","Delete file","LMS service","2026-08-28","passed","2026-08-28","Delete entity","Files","",""
"","16","Get exercises","LMS service","2026-08-28","passed","2026-08-28","Get entities","Exercises","",""
"","560","Create user","LMS service","2026-08-28","passed","2026-08-28","Create entity","Users","",""
"","555","Login with correct email and password","LMS service","2026-08-28","passed","2026-08-28","Login","Authentication","",""
"","13","Get user me","LMS service","2026-08-28","passed","2026-08-28","Get entity","Users","",""
"","286","Get exercise","LMS service","2026-08-28","passed","2026-08-28","Get entity","Exercises","",""
"","26","Get courses","LMS service","2026-08-28","passed","2026-08-28","Get entities","Courses","",""
"","37","Update course","LMS service","2026-08-28","passed","2026-08-28","Update entity","Courses","",""
"","301","Create course","LMS service","2026-08-28","passed","2026-08-28","Create entity","Courses","",""
"","23","Create file with empty directory","LMS service","2026-08-28","passed","2026-08-28","Validate entity","Files","",""
"","28","Create file","LMS service","2026-08-28","passed","2026-08-28","Create entity","Files","",""
"","530","Create user","LMS service","2026-08-28","passed","2026-08-28","Create entity","Users","",""
"","0","Update exercise","LMS service","2026-08-28","broken","2026-08-28","Update entity","Exercises","",""
"","268","Create file with empty filename","LMS service","2026-08-28","passed","2026-08-28","Validate entity","Files","",""
"","15","Get file","LMS service","2026-08-28","passed","2026-08-28","Get entity","Files","",""
