"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","347","Get exercise","LMS service","2026-08-28","passed","2026-08-28","Get entity","Exercises","",""
"","23","Create exercise","LMS service","2026-08-28","passed","2026-08-28","Create entity","Exercises","",""
"","283","Create file with empty directory","LMS service","2026-08-28","passed","2026-08-28","Validate entity","Files","",""
"","898","Update exercise","LMS service","2026-08-28","passed","2026-08-28","Update entity","Exercises","",""
"","12","Get user me","LMS service","2026-08-28","passed","2026-08-28","Get entity","Users","",""
"","164","Delete exercise","LMS service","2026-08-28","passed","2026-08-28","Delete entity","Exercises","",""
"","602","Create user","LMS service","2026-08-28","passed","2026-08-28","Create entity","Users","",""
"","26","Get courses","LMS service","2026-08-28","passed","2026-08-28","Get entities","Courses","",""
"","207","Create course","LMS service","2026-08-28","passed","2026-08-28","Create entity","Courses","",""
"","569","Create user","LMS service","2026-08-28","passed","2026-08-28","Create entity","Users","",""
"","280","Update course","LMS service","2026-08-28","passed","2026-08-28","Update entity","Courses","",""
"","301","Get file with incorrect file id","LMS service","2026-08-28","passed","2026-08-28","Validate entity","Files","",""
"","15","Get file","LMS service","2026-08-28","passed","2026-08-28","Get entity","Files","",""
"","546","Login with correct email and password","LMS service","2026-08-28","passed","2026-08-28","Login","Authentication","",""
"","313","Create file with empty filename","LMS service","2026-08-28","passed","2026-08-28","Validate entity","Files","",""
"","294","Create user","LMS service","2026-08-28","passed","2026-08-28","Create entity","Users","",""
"","337","Create file","LMS service","2026-08-28","passed","2026-08-28","Create entity","Files","",""
"","400","Get exercises","LMS service","2026-08-28","passed","2026-08-28","Get entities","Exercises","",""
"","300","Delete file","LMS service","2026-08-28","passed","2026-08-28","Delete entity","Files","",""
